title,keywords,journal,authors,abstract
caste-specific demography and phenology in bumblebees: modelling beewalk data,citizen science; mixture models; phenology; population trends; productivity; stopover models,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,MATECHOU E;FREEMAN SN;COMONT R,"we present novel dynamic mixture models for the monitoring of bumblebee populations on an unprecedented geographical scale, motivated by the uk citizen science scheme beewalk. the models allow us for the first time to estimate bumblebee phenology and within-season productivity, defined as the number of individuals in each caste per colony in the population in that year, from citizen science data. all of these parameters are estimated separately for each caste, giving a means of considerable ecological detail in examining temporal changes in the complex life cycle of a social insect in the wild. due to the dynamic nature of the models, we are able to produce population trends for a number of uk bumblebee species using the available time-series. via an additional simulation exercise, we show the extent to which useful information will increase if the survey continues, and expands in scale, as expected. bumblebees are extraordinarily important components of the ecosystem, providing pollination services of vast economic impact and functioning as indicator species for changes in climate or land use. our results demonstrate the changes in both phenology and productivity between years and provide an invaluable tool for monitoring bumblebee populations, many of which are in decline, in the uk and around the world. supplementary materials accompanying this paper appear online."
parameterizing the robust design in the bugs language: lifetime carry-over effects of environmental conditions during growth on a long-lived bird,bayesian; branta bernicla nigricans; breeding probability; capture-mark-recapture; carry-over effects; fitness; population dynamics; robust design,METHODS IN ECOLOGY AND EVOLUTION,RIECKE TV;LEACH AG;GIBSON D;SEDINGER JS,"since the initial development of the robust design, this capture-recapture model structure has been modified to estimate temporary emigration and expanded to include auxiliary information such as band recovery and live resight data using maximum likelihood approaches. these developments have allowed investigators to separately assess individual and group effects on true survival, site fidelity, and temporary emigration. additionally, recent advances in the bugs language have allowed researchers to develop increasingly complex, user-specified models in bayesian frameworks. the robust design has rarely been implemented in the bugs language, and previous attempts to parameterize the robust design in bugs exhibited strong bias in estimates of temporary emigration rates. given the limitations of current parameterizations of the robust design in bayesian frameworks, and our research objectives, we have developed a parameterization of the robust design in the bugs language that produces unbiased estimates of all model parameters. we use this novel model structure to examine lifetime carry-over effects of environmental conditions during early life on annual breeding probabilities of pacific black brent branta bernicla nigricans breeding on the yukon-kuskokwim river delta in western alaska. we found that individuals that were more structurally developed as goslings bred at increased rates as adults (beta = 0.14, f = 0.94), with no effect on adult survival (beta = 0.01, f = 0.62). additionally, we provide evidence for long-term declines in apparent survival of breeding adult females at the population level (beta = -0.01, f = 0.90). this novel model structure can be easily expanded (gibson et al., in press) and has important implications for population modelling at broad scales, where we apply it to a declining population of pacific black brent. given long-term declines in gosling growth on the yukon-kuskokwim delta, we predict future declines in population trajectories as a result of lifetime carry-over effects of environmental conditions during growth on adult fecundity and long-term declines in adult survival."
bayesian modeling of individual growth variability using back-calculation: application to pink cusk-eel (genypterus blacodes) off chile,individual variability; von bertalanffy model; student-t distribution; pink cusk-eel; chile,ECOLOGICAL MODELLING,CONTRERAS REYES JE;QUINTERO FOL;WIFF R,"the von bertalanffy growth function (vbgf) with random effects has been widely used to estimate growth parameters incorporating individual variability of length-at-age. trajectories of individual growth can be inferred using either mark-recapture or back-calculation of length-at-age from growth marks in hard body parts such as otoliths. modem statistical methods evaluate individual variation usually from mark-recapture data, and the parameters describing this function are estimated using empirical bayes methods assuming gaussian error. in this paper, we combine recent studies in non-gaussian distributions and a bayesian approach to model growth variability using back-calculated data in harvested fish populations. we presumed that errors in the vbgf can be assumed as a student-t distribution, given the abundance of individuals with extreme length values. the proposed method was applied and compared to the standard methods using back-calculated length-at-age data for pink cusk-eel (genypterus blacodes) off chile. considering several information criteria, and comparing males and females, we have found that males grow significantly faster than females, and that length-at-age for both sexes exhibits extreme length observations. comparisons indicated that a student-t model with mixed effects describes best back-calculated data regarding pink cusk-eel. this framework merged the strengths of different approaches to estimate growth parameters in harvested fish populations, considering modeling of individual variability of length-at-age, bayesian inference, and distribution of errors from the student-t model."
estimating recruitment from capture-recapture data by modelling spatio-temporal variation in birth and age-specific survival rates,birth-death process; camera trapping; individual-based models; spatial capture-recapture; spatial demography; spatio-temporal point process; white-tailed deer,METHODS IN ECOLOGY AND EVOLUTION,CHANDLER RB;ENGEBRETSEN K;CHERRY MJ;GARRISON EP;MILLER KV,"1. understanding the factors influencing recruitment in animal populations is an important objective of many research and conservation programmes. however, evaluating hypotheses is challenging because recruitment is the outcome of birth and survival processes that are difficult to directly observe. capture-recapture is the most general framework for estimating recruitment in the presence of observation error, but existing methods ignore the underlying birth and survival processes, as well as age effects and spatial variation in vital rates. 2. we present an individual-based, spatio-temporal model that can be fit to capture-recapture data to draw inferences on the birth and survival processes governing recruitment dynamics. the number, dates, and spatial distribution of births are modelled as outcomes of a point process, and survival is modelled using a failure time approach. survival parameters can be modelled as functions of individuals traits and time-varying, spatial covariates. continuous-and discrete-time formulations are possible. we demonstrate the model using 7 months of camera data collected on white-tailed deer odocoileus virginianus fawns in big cypress national preserve. spot patterns were used to individually identify 28 fawns, detected 1,454 times between december 1, 2015 and july 1, 2016. 3. a total of 37 (95% ci: 30-49) fawns were born, of which 16 (95% ci: 10-23) survived 180 days to the recruitment age. mean parturition date was february 14 (95% ci: february 6-february 22), much earlier than in more temperate parts of the species' range, but coinciding with the dry season in southern florida. we found little evidence that mortality rates decreased with age, but the estimate of the age effect was imprecise. in contrast, we found strong evidence that encounter rates were age-specific and increased rapidly over the first month of life as fawns became more mobile. 4. our case study demonstrates the potential of this new model for advancing knowledge of spatial population dynamics by providing insights into the birth and juvenile survival processes that influence recruitment. because the model can be applied to data from noninvasive survey methods such as camera trapping, it is possible to apply it at broad spatial scales to understand how environmental variables and predator communities influence recruitment."
joining the incompatible: exploiting purposive lists for the sample-based estimation of species richness,difference estimator; probabilistic sampling; purposive survey; supporting list; simulation,ANNALS OF APPLIED STATISTICS,CHIARUCCI A;DI BIASE RM;FATTORINI L;MARCHESELLI M;PISANI C,"the lists of species obtained by purposive sampling by field ecologists can be used to improve the sample-based estimation of species richness. a new estimator is here proposed as a modification of the difference estimator in which the species inclusion probabilities are estimated by means of the species frequencies from incidence data. if the species list used to support the estimation is complete the estimator guesses the true richness without error. in the case of incomplete lists, the estimator provides values invariably greater than the number of species detected by the combination of sample-based and purposive surveys. an asymptotically conservative estimator of the mean squared error is also provided. a simulation study based on two artificial communities is carried out in order to check the obvious increase in accuracy and precision with respect to the widely applied estimators based on the sole sample information. finally, the proposed estimator is adopted to estimate species richness in the maremma regional park, italy."
modelling sound attenuation in heterogeneous environments for improved bioacoustic sampling of wildlife populations,acoustic monitoring; bioacoustics; distance sampling; least-cost path models; sound attenuation; sound pressure audiogram; spatial capture-recapture; telemetry,METHODS IN ECOLOGY AND EVOLUTION,ROYLE JA,"1. acoustic sampling methods are becoming increasingly important in biological monitoring. sound attenuation is one of the most important dynamics affecting the utility of acoustic data as it directly affects the probability of detection of individuals by acoustic sensor arrays and especially the localization of acoustic signals necessary in telemetry studies. therefore, models of sound attenuation are necessary to make efficient use of acoustic data in ecological monitoring and assessment applications. models of attenuation in widespread use are based on euclidean distance between source and sensor, which is justified under spherical attenuation of sound waves in homogeneous environments. 2. in this paper, i develop a model of sound attenuation based on a non-euclidean cost-weighted distance metric which contains attenuation coefficients that characterize the attenuation of sound due to environmental heterogeneity in the vicinity of an acoustic sensor array. 3. i show that parameters of the proposed attenuation model can be estimated by maximum likelihood using experimental data from an array of fixed sources, thus allowing investigators who use bioacoustic methods to devise explicit models of sound attenuation in situ and apply them to localization of sources and density estimation. in addition, drawing on analogy with spatial capture-recapture models, i argue that parameters of the non-euclidean model of attenuation can be estimated when source locations are unknown. thus, the models can be applied to real field studies which require estimation of attenuation parameters or localization of signals. 4. models of heterogeneous sound attenuation allow more accurate descriptions of acoustic monitoring data, and therefore should produce more accurate estimates of ecological parameters of interest, including source locations, density, and movement trajectories. moreover, the ability to test specific hypotheses about the effects of habitat and landscape structure on sound attenuation can improve the design of acoustic monitoring arrays and lead to more efficient deployment of acoustic sensing technology."
a length-based mark-recapture model for estimating abundance and recruitment: removing bias due to size-selective capture gear,mark-recapture; growth; abundance; size selectivity; length-based model; bias,ECOLOGICAL MODELLING,VAN POORTEN BT;TAYLOR N;O BRIEN D;WALTERS CJ,"we describe an unbiased length-based, age-structured mark-recapture (lamr) model for estimating length based abundance and recruitment of fish populations. many mark-recapture studies employ capture gear that is size-selective, leading to a larger and faster growing marked sub-population with a different capture probability than the unmarked sub-population, resulting in a basic violation of assumptions for many mark-recapture models. persistent differences in marked and unmarked individuals are estimated in our model using growth type group accounting. simulation-evaluation results indicate that the model produces largely unbiased estimates of recruitment and abundance across a range of sampling scenarios and population life-history types, and is robust to growth parameter misspecification. however, in older, slow growing populations, the model is prone to 'smearing' of recruitment estimates across early year-classes. the lamr model is applied to data from multiple wild populations of rainbow trout to estimate recruitment and abundance. overall, results indicate that the lamr model addresses shortcomings associated with using size-selective gear in mark-recapture studies to produce reliable estimates of recruitment and size-based abundance."
using partial aggregation in spatial capture recapture,partially aggregated binary model; spatial capture recapture; wolverines,METHODS IN ECOLOGY AND EVOLUTION,MILLERET C;DUPONT P;BROSETH H;KINDBERG J;ROYLE JA;BISCHOF R,"1. spatial capture-recapture (scr) models are commonly used for analysing data collected using noninvasive genetic sampling (ngs). opportunistic ngs often leads to detections that do not occur at discrete detector locations. therefore, spatial aggregation of individual detections into fixed detectors (e.g., centre of grid cells) is an option to increase computing speed of scr analyses. however, it may reduce precision and accuracy of parameter estimations. 2. using simulations, we explored the impact that spatial aggregation of detections has on a trade-off between computing time and parameter precision and bias, under a range of biological conditions. we used three different observation models: the commonly used poisson and bernoulli models, as well as a novel way to partially aggregate detections (partially aggregated binary model [pab]) to reduce the loss of information after aggregating binary detections. the pab model divides detectors into k subdetectors and models the frequency of subdetectors with more than one detection as a binomial response with a sample size of k. finally, we demonstrate the consequences of aggregation and the use of the pab model using ngs data from the monitoring of wolverine (gulo gulo) in norway. 3. spatial aggregation of detections, while reducing computation time, does indeed incur costs in terms of reduced precision and accuracy, especially for the parameters of the detection function. scr models estimated abundance with a low bias (< 10%) even at high degree of aggregation, but only for the poisson and pab models. overall, the cost of aggregation is mitigated when using the poisson and pab models. at the same level of aggregation, the pab observation model out-performs the bernoulli model in terms of accuracy of estimates, while offering the benefits of a binary observation model (less assumptions about the underlying ecological process) over the count-based model. 4. we recommend that detector spacing after aggregation does not exceed 1.5 times the scale-parameter of the detection function in order to limit bias. we recommend the use of the pab observation model when performing spatial aggregation of binary data as it can mitigate the cost of aggregation, compared to the bernoulli model."
r2ucare: an r package to perform goodness-of-fit tests for capture-recapture models,arnason-schwarz; capture-mark-recapture; cormack-jolly-seber; model validation; r2ucare,METHODS IN ECOLOGY AND EVOLUTION,GIMENEZ O;LEBRETON JD;CHOQUET R;PRADEL R,"1. assessing the quality of fit of a statistical model to data is a necessary step for conducting safe inference. 2. we introduce r2ucare, an r package to perform goodness-of-fit tests for open single- and multi-state capture-recapture models. r2ucare also has various functions to manipulate capture-recapture data. 3. we remind the basics and provide guidelines to navigate towards testing the fit of capture-recapture models. we demonstrate the functionality of r2ucare through its application to real data."
spatial capture-mark-resight estimation of animal population density,capture-mark-resight model; density estimation; maximum likelihood; overdispersion; spatial mark-resight; spatially explicit capture-recapture,BIOMETRICS,EFFORD MG;HUNTER CM,"sightings of previously marked animals can extend a capture-recapture dataset without the added cost of capturing new animals for marking. combined marking and resighting methods are therefore an attractive option in animal population studies, and there exist various likelihood-based non-spatial models, and some spatial versions fitted by markov chain monte carlo sampling. as implemented to date, the focus has been on modeling sightings only, which requires that the spatial distribution of pre-marked animals is known. we develop a suite of likelihood-based spatial mark-resight models that either include the marking phase (capture-mark-resight models) or require a known distribution of marked animals (narrow-sense mark-resight). the new models sacrifice some information in the covariance structure of the counts of unmarked animals; estimation is by maximizing a pseudolikelihood with a simulation-based adjustment for overdispersion in the sightings of unmarked animals. simulations suggest that the resulting estimates of population density have low bias and adequate confidence interval coverage under typical sampling conditions. further work is needed to specify the conditions under which ignoring covariance results in unacceptable loss of precision, or to modify the pseudolikelihood to include that information. the methods are applied to a study of ship rats rattus rattus using live traps and video cameras in a new zealand forest, and to previously published data."
continuous-time capture-recapture in closed populations,capture-recapture; likelihood factorization; markov chain monte carlo; nonhomogenous poisson process,BIOMETRICS,SCHOFIELD MR;BARKER RJ;GELLING N,"the standard approach to fitting capture-recapture data collected in continuous time involves arbitrarily forcing the data into a series of distinct discrete capture sessions. we show how continuous-time models can be fitted as easily as discrete-time alternatives. the likelihood is factored so that efficient markov chain monte carlo algorithms can be implemented for bayesian estimation, available online in the r package ctime. we consider goodness-of-fit tests for behavior and heterogeneity effects as well as implementing models that allow for such effects."
bayesian propagation of record linkage uncertainty into population size estimation of human rights violations,capture-recapture; counting casualties; data linkage; decomposable graphical model; duplicate detection; entity resolution; multiple-systems estimation; multiple record linkage,ANNALS OF APPLIED STATISTICS,SADINLE M,"multiple-systems or capture-recapture estimation are common techniques for population size estimation, particularly in the quantitative study of human rights violations. these methods rely on multiple samples from the population, along with the information of which individuals appear in which samples. the goal of record linkage techniques is to identify unique individuals across samples based on the information collected on them. linkage decisions are subject to uncertainty when such information contains errors and missingness, and when different individuals have very similar characteristics. uncertainty in the linkage should be propagated into the stage of population size estimation. we propose an approach called linkage-averaging to propagate linkage uncertainty, as quantified by some bayesian record linkage methodologies, into a subsequent stage of population size estimation. linkage-averaging is a two-stage approach in which the results from the record linkage stage are fed into the population size estimation stage. we show that under some conditions the results of this approach correspond to those of a proper bayesian joint model for both record linkage and population size estimation. the two-stage nature of linkage-averaging allows us to combine different record linkage models with different capture-recapture models, which facilitates model exploration. we present a case study from the salvadoran civil war, where we are interested in estimating the total number of civilian killings using lists of witnesses' reports collected by different organizations. these lists contain duplicates, typographical and spelling errors, missingness, and other inaccuracies that lead to uncertainty in the linkage. we show how linkage-averaging can be used for transferring the uncertainty in the linkage of these lists into different models for population size estimation."
assessing the dynamics of natural populations by fitting individual-based models with approximate bayesian computation,approximate bayesian computation; individual-based models; metapopulation dynamics; multiple data sources; population dynamics,METHODS IN ECOLOGY AND EVOLUTION,SIREN J;LENS L;COUSSEAU L;OVASKAINEN O,"1. individual-based models (ibms) allow realistic and flexible modelling of ecological systems, but their parameterization with empirical data is statistically and computationally challenging. approximate bayesian computation (abc) has been proposed as an efficient approach for inference with ibms, but its applicability to data on natural populations has not been yet fully explored. 2. we construct an ibm for the metapopulation dynamics of a species inhabiting a fragmented patch network, and develop an abc method for parameterization of the model. we consider several scenarios of data availability from count data to combination of mark-recapture and genetic data. we analyse both simulated and real data on white-starred robin (pogonocichla stellata), a passerine bird living in montane forest environment in kenya, and assess how the amount and type of data affect the estimates of model parameters and indicators of population state. 3. the indicators of the population state could be reliably estimated using the abc method, but full parameterization was not achieved due to strong posterior correlations between model parameters. while the combination of the data types did not provide more accurate estimates for most of the indicators of population state or model parameters than the most informative data type (ringing data or genetic data) alone, the combined data allowed robust simultaneous estimation of all unknown quantities. 4. our results show that abc methods provide a powerful and flexible technique forparameterizing complex ibms with multiple data sources, and assessing the dynamics of the population in a robust manner."
markov-modulated poisson processes as a new framework for analysing capture-recapture data,capture-recapture; likelihood; markov-modulated poisson process; non-constant time interval; uncertainty,METHODS IN ECOLOGY AND EVOLUTION,CHOQUET R,"1. opportunistic capture-recapture data consists of observations over non-constant time intervals and so fails to satisfy the basic assumptions of traditional capture-recapture models. analysing opportunistic capture-recapture data is often done by discretizing time intervals or summarizing data, but without taking into account the continuous time process of the state and/or the capture. 2. to deal with non-constant time-intervals, continuous time closed capture-recapture models have been proposed by yip, huggins, and lin (1996), hwang and chao (2002), schofield, barker, and gelling (2017) for estimating population size. more recently, a continuous time cormack-jolly-seber model has been proposed by fouchet, santin-janin, sauvage, yoccoz, and pontier (2016) to reduce bias in survival rates, and a two-state process has been proposed by choquet, garnier, awuve, and besnard (2017) to estimate reproduction rates and survival rates of young within a season. 3. the aim of the current study is to demonstrate how an approach based on a markov-modulated poisson process (mmpp) (freed & shepp, 1982) allows, in a similar way to a multistate model, to model opportunistic data, using several states. to this end, several multistate models were rewritten as mmpp models, showing, the potential for this approach to address the ecological questions as multistate models, but using an extended data framework. in particular, it is a useful framework for dealing with data that has unordered levels of uncertainty. 4. the methods were illustrated using simulations and analysis of data on the alpine ibex (capra ibex)."
