title,keywords,journal,authors,abstract
integrating count and detection-nondetection data to model population dynamics,dail-madsen model; detection probability; integrated population model; n-mixture model; occupancy; unmarked data,ECOLOGY,ZIPKIN EF;ROSSMAN S;YACKULIC CB;WIENS JD;THORSON JT;DAVIS RJ;GRANT EHC,"there is increasing need for methods that integrate multiple data types into a single analytical framework as the spatial and temporal scale of ecological research expands. current work on this topic primarily focuses on combining capture-recapture data from marked individuals with other data types into integrated population models. yet, studies of species distributions and trends often rely on data from unmarked individuals across broad scales where local abundance and environmental variables may vary. we present a modeling framework for integrating detection-nondetection and count data into a single analysis to estimate population dynamics, abundance, and individual detection probabilities during sampling. our dynamic population model assumes that site-specific abundance can change over time according to survival of individuals and gains through reproduction and immigration. the observation process for each data type is modeled by assuming that every individual present at a site has an equal probability of being detected during sampling processes. we examine our modeling approach through a series of simulations illustrating the relative value of count vs. detection-nondetection data under a variety of parameter values and survey configurations. we also provide an empirical example of the model by combining long-term detection-nondetection data (1995-2014) with newly collected count data (2015-2016) from a growing population of barred owl (strix varia) in the pacific northwest to examine the factors influencing population abundance over time. our model provides a foundation for incorporating unmarked data within a single framework, even in cases where sampling processes yield different detection probabilities. this approach will be useful for survey design and to researchers interested in incorporating historical or citizen science data into analyses focused on understanding how demographic rates drive population abundance."
adult mortality in a low-density tree population using high-resolution remote sensing,bayesian state-space; capture-recapture; hierarchical bayes; population dynamics; remote sensing,ECOLOGY,KELLNER JR;HUBBELL SP,"we developed a statistical framework to quantify mortality rates in canopy trees observed using time series from high-resolution remote sensing. by timing the acquisition of remote sensing data with synchronous annual flowering in the canopy tree species handroanthus guayacan, we made 2,596 unique detections of 1,006 individual adult trees within 18,883 observation attempts on barro colorado island, panama (bci) during an 11-yr period. there were 1,057 observation attempts that resulted in missing data due to cloud cover or incomplete spatial coverage. using the fraction of 123 individuals from an independent field sample that were detected by satellite data (109 individuals, 88.6%), we estimate that the adult population for this species on bci was 1,135 individuals. we used a bayesian state-space model that explicitly accounted for the probability of tree detection and missing observations to compute an annual adult mortality rate of 0.2%.yr(-1) (se = 0.1, 95% ci = 0.06-0.45). an independent estimate of the adult mortality rate from 260 field-checked trees closely matched the landscape-scale estimate (0.33%.yr(-1), se = 0.16, 95% ci = 0.12-0.74). our proof-of-concept study shows that one can remotely estimate adult mortality rates for canopy tree species precisely in the presence of variable detection and missing observations."
a science-based approach to guide amur leopard recovery in china,amur leopard; camera trapping; human disturbance; cattle grazing; habitat use; zero-inflated model,BIOLOGICAL CONSERVATION,WANG TM;FENG LM;YANG HT;HAN BY;ZHAO YH;JUAN L;LU XY;ZOU L;LI T;XIAO WH;MOU P;SMITH JLD;GE JP,"the future of the critically endangered amur leopard (panthera pardus orientalis) is at a crucial point, and effective conservation strategies implemented within its primary historical range in northeast china may determine the fate of this species. however, when a conservation plan was first developed for the species, scarce information on the leopards' status existed. to illustrate regional conservation challenges, we focused on the hunchun nature reserve and the surrounding area along the china-russia border, a potential stronghold for amur leopard conservation. we conducted large-scale data analysis with a field camera-trapping network to present the first population estimates for this species using a spatially explicit capture-recapture approach. we then used a zero-inflated regression model to analyze the relationship of leopards with major prey species and anthropogenic disturbances. our results indicate that leopards are returning to china, but most of them are part of a ""border population"" or are transient; their numbers are far too few to establish a healthy population. the spatial counts of leopards were noticeably high in areas with high prey richness and areas far from settlements and roads. areas with few prey species and high human and cattle use exhibited a greater probability of ""excess absences"" of leopards. mitigating human disturbances by progressively minimizing cattle and human impacts on the forest should be pursued along with habitat expansion for large ungulates, whose presence is essential for leopard occupancy. this study provides crucial information to support chinese government recovery efforts and for refining conservation practices in human-dominated landscapes to ensure the long-term survival of this species. (c) 2016 elsevier ltd. all rights reserved."
conservation implications of source-sink dynamics within populations of endangered maculinea butterflies,mark-recapture; population survey; resource availability; source-sink system; species conservation,JOURNAL OF INSECT CONSERVATION,TIMUS N;CZEKES Z;RAKOSY L;NOWICKI P,"conservation programmes are often based on snapshot information on animal abundance. however, land fragments with high numbers of individuals do not necessarily represent their natal areas, which are crucial for species persistence. a classic example of the above principle are source-sink systems, in which excess individuals emigrate from source areas during their lifetime and gather in sink areas. we demonstrated the existence of source-sink dynamics in two species of endangered maculinea (=phengaris) butterflies. sympatrically occurring m. nausithous and m. teleius were investigated with mark-recapture sampling during the entire flight period. in the first half of the season a great majority of butterflies were captured within the relatively small central part of the site, while later their numbers became similar between the site centre and its peripheries. the analysis of movements indicated that most individuals captured in the peripheral zone eclosed in the central zone. moreover, the timing of the sharp increase in movements from the site centre to its peripheries corresponded well with the period when the number of eggs laid in the former area reached carrying capacity, defined by the number of the sanguisorba officinalis foodplant flowerheads available for oviposition. within the peripheral zone the foodplant availability greatly exceeded the egg load, but in contrast the abundance of host ants (i.e. the other essential resource) was low, which presumably results in low maculinea larval survival there. our findings imply that setting conservation priorities over different land fragments should take into account dispersion of individuals among them."
the role of small secondary biotopes in a highly fragmented landscape as habitat and connectivity providers for dragonflies (insecta: odonata),odonata; species diversity; habitat requirements; landscape fragmentation; man-made ponds; conservation management; connectivity,JOURNAL OF INSECT CONSERVATION,MAYNOU X;MARTIN R;ARANDA D,"habitat loss and degradation are considered major threats to freshwater biodiversity and to invertebrates in particular. these often irreversible processes may lead to local and regional extinctions of species, most notably of stenotopic taxa. in spite of this, a number of studies have shown that small habitat patches can sustain rich and abundant communities. the present work assesses the relevance of a group of four small man-made (secondary) wildlife ponds to odonata species diversity and abundance. results obtained on pond recruiting capacity, species richness, abundance and habitat use by means of exuviae collection and monitoring of adults using a capture-mark-recapture (cmr) method indicate the potential suitability of these small aquatic biotopes and the surrounding landscape as habitat providers and stepping stone connectors in the vallss lowlands (catalonia, spain). this region, close to the metropolitan area of barcelona, has severely degraded natural habitats and high landscape fragmentation due to infrastructure, urban and industrial expansion. a comparison among a greater number of sites (ponds and sections of streams and rivers) distributed across the region showed that adequately managed small waterbodies harbour richer odonata communities than others that are unmanaged or managed specifically for other types of fauna or uses. appropriate care of these small biotopes avoids disturbance and keeps them free from vertebrates like fish and waterfowl which, under certain conditions, may have a strong influence on the invertebrate communities because, apart from feeding on larvae, they may have a negative impact on macrophyte development and water quality. while rivers and streams, the only natural aquatic habitats in the area, may be both expensive and technically challenging to restore and manage successfully, the creation and/or restoration of small ponds and short river sections in suitable locations can be a cost-effective method for enhancing freshwater vegetation and invertebrate diversity in this impacted landscape."
bat wing biometrics: using collagen-elastin bundles in bat wings as a unique individual identifier,animal identification; bats; biometrics; e. fuscus; m. lucifugus; m. septentrionalis; p. subflavus,JOURNAL OF MAMMALOGY,AMELON SK;HOOPER SE;WOMACK KM,"the ability to recognize individuals within an animal population is fundamental to conservation and management. identification of individual bats has relied on artificial marking techniques that may negatively affect the survival and alter the behavior of individuals. biometric systems use biological characteristics to identify individuals. the field of animal biometrics has expanded to include recognition of individuals based upon various morphologies and phenotypic variations including pelage patterns, tail flukes, and whisker arrangement. biometric systems use 4 biologic measurement criteria: universality, distinctiveness, permanence, and collectability. additionally, the system should not violate assumptions of capture-recapture methods that include no increased mortality or alterations of behavior. we evaluated whether individual bats could be uniquely identified based upon the collagen-elastin bundles that are visible with gross examination of their wings. we examined little brown bats (myotis lucifugus), northern long-eared bats (m. septentrionalis), big brown bats (eptesicus fuscus), and tricolored bats (perimyotis subflavus) to determine whether the ""wing prints"" from the bundle network would satisfy the biologic measurement criteria. we evaluated 1,212 photographs from 230 individual bats comparing week 0 photos with those taken at weeks 3 or 6 and were able to confirm identity of individuals over time. two blinded evaluators were able to successfully match 170 individuals in hand to photographs taken at weeks 0, 3, and 6. this study suggests that bats can be successfully re-identified using photographs taken at previous times. we suggest further evaluation of this methodology for use in a standardized system that can be shared among bat conservationists."
survival rates of steller sea lions from oregon and california,california; eumetopias jubatus; mark-recapture; oregon; steller sea lion; survival,JOURNAL OF MAMMALOGY,WRIGHT BE;BROWN RF;DELONG RL;GEARIN PJ;RIEMER SD;LAAKE JL;SCORDINO JJ,"due to significant population declines in the 1970s and 1980s, steller sea lions (eumetopias jubatus) were listed as threatened under the u.s. endangered species act in 1990, and subsequently partitioned in 1997 into an endangered western stock and a threatened eastern stock. we estimated survival rates from a mark-recapture study of 7 eastern stock cohorts marked as pups in california and oregon from 2001 to 2009 (n = 1,154 pups) and resighted range-wide from 2002 to 2013. first-year survival rates were among the lowest found for steller sea lions thus far, averaging 0.46 (range 0.21-0.72) for females and 0.44 (0.21-0.68) for males; yearling survival rates, however, were among the highest, averaging 0.85 for females and 0.81 for males. low pup and high yearling rates offset each other, however, so that cumulative survival rates to age 4, averaging 0.33 for females and 0.27 for males, were similar to those found in studies from alaska and russia. while range-limit effects and environmental variation may be related to the low and variable pup survival rates we found, populations in oregon and california nonetheless continued to grow, which contributed to delisting of the eastern stock in 2013. continued monitoring and incorporation of new information on vital rates into regional population models will help inform post-delisting monitoring for the eastern stock of steller sea lions."
a hierarchical model for estimating the spatial distribution and abundance of animals detected by continuous-time recorders,NA,PLOS ONE,DORAZIO RM;KARANTH KU,"motivation several spatial capture-recapture (scr) models have been developed to estimate animal abundance by analyzing the detections of individuals in a spatial array of traps. most of these models do not use the actual dates and times of detection, even though this information is readily available when using continuous-time recorders, such as microphones or motion-activated cameras. instead most scr models either partition the period of trap operation into a set of subjectively chosen discrete intervals and ignore multiple detections of the same individual within each interval, or they simply use the frequency of detections during the period of trap operation and ignore the observed times of detection. both practices make inefficient use of potentially important information in the data. model and data analysis we developed a hierarchical scr model to estimate the spatial distribution and abundance of animals detected with continuous-time recorders. our model includes two kinds of point processes: a spatial process to specify the distribution of latent activity centers of individuals within the region of sampling and a temporal process to specify temporal patterns in the detections of individuals. we illustrated this scr model by analyzing spatial and temporal patterns evident in the camera-trap detections of tigers living in and around the nagarahole tiger reserve in india. we also conducted a simulation study to examine the performance of our model when analyzing data sets of greater complexity than the tiger data. benefits our approach provides three important benefits: first, it exploits all of the information in scr data obtained using continuous-time recorders. second, it is sufficiently versatile to allow the effects of both space use and behavior of animals to be specified as functions of covariates that vary over space and time. third, it allows both the spatial distribution and abundance of individuals to be estimated, effectively providing a species distribution model, even in cases where spatial covariates of abundance are unknown or unavailable. we illustrated these benefits in the analysis of our data, which allowed us to quantify differences between nocturnal and diurnal activities of tigers and to estimate their spatial distribution and abundance across the study area. our continuous-time scr model allows an analyst to specify many of the ecological processes thought to be involved in the distribution, movement, and behavior of animals detected in a spatial trapping array of continuous-time recorders. we plan to extend this model to estimate the population dynamics of animals detected during multiple years of scr surveys."
mark-recapture models identify imminent extinction of yaqui catfish ictalurus pricei in the united states,yaqui catfish; desert fishes; conservation; bayesian models,BIOLOGICAL CONSERVATION,STEWART DR;BUTLER MJ;HARRIS G;RADKE WR,"data describing population abundance, survival, and recruitment informs species conservation status and conservation actions. acquiring these data remains challenging for rare and endangered species, especially freshwater fish, with similar to 37% threatened or extinct. the absence of data risks inaction, ineptness and ignorance that can contaminate conservation decisions to the species detriment. the solution is obvious: ensure credible data underpin species conservation. we focus on yaqui catfish (ictalurus pricei), an endangered, freshwater endemic to the sonoran desert (arizona, us and sonora, mexico). our method incorporates mark-recapture data, coupled with hierarchical bayesian state-space formulations of the cormack-jolly seber models and jolly-seber models, to quantify species growth, survival probability, recruitment probability, abundance and trends for the us population. yaqui catfish growth matched other ictalurid species. population recruitment is essentially zero (<0.01%) and annual survival high (>70-75%). overall, the us yaqui catfish population declined by 15% per year (lambda = 0.85). remaining catfish represent remnants of stocked progeny from the 1990s (age of 19-21 years), with us extinction predicted by 2018. a pulse of conservation activity followed by 20 years of unsuccessful management resulted in the us population collapsing while habitat degradation and introgression from non-native fish threaten most populations in mexico. now approaching global extinction, saving yaqui catfish requires collaboration between mexican and us biologists to establish species status in mexico, hatchery cultivation, habitat protection, habitat restoration and appropriate monitoring. work herein springboards recent conservation efforts to secure this species. published by elsevier ltd."
noninvasive genetic spatial capture-recapture for estimating deer population abundance,abundance; california; density; habitat modeling; mule deer; noninvasive; odocoileus hemionus; spatially explicit capture-recapture,JOURNAL OF WILDLIFE MANAGEMENT,BRAZEAL JL;WEIST T;SACKS BN,"informed management of wildlife populations requires the accurate estimation of abundance, sex ratio, and other population parameters. for deer (odocoileus spp.), the use of closed-population, capture-recapture (cr) methods, in conjunction with noninvasive dna sampling, has become increasingly practical, but, up to now, these methods have been used in a non-spatial modeling framework, which has limited their utility for population-level inferences. in particular, extrapolation of plot-level cr abundance estimates to the population required the use of multipliers of unknown reliability and potential bias. spatially explicit capture-recapture (scr) models provide an integrated framework for directly estimating density as a function of spatial and habitat variables at landscape scales. we used fecal dna samples in conjunction with scr to estimate density, sex ratio, and habitat correlates to density for a mule deer (o. hemionus) population across a large (approximate to 500km(2)) area in the central sierra nevada range, california, usa during 2013 and 2014. we surveyed 24 random transects within 4 30-km(2) sites representative of the study area. based on 411 samples genotyped at a sex marker and 8-10 microsatellite loci, the sex-ratio for the study area was 62 (95% ci=41-93) males/100 females in 2013 and 65 (95% ci=45-94) males/100 females in 2014. using scr, we estimated density at 5.0 (95% ci=2.3-7.8) deer/km(2) in 2013 and 5.1 (95% ci=3.1-7.2) deer/km(2) in 2014. in comparison, non-spatial cr analysis produced density estimates on average 60% higher, likely reflecting bias resulting from use of the commonly employed mean maximum recapture distance (mmrd) to estimate effective sampling area. the scr models indicated that density was effectively homogeneous throughout the study area, with no strong relationship to habitat correlates. altogether, these results demonstrate the utility of noninvasive fecal dna methods in a scr framework for estimation of abundance and density in deer populations at landscape scales. (c) 2017 the wildlife society through an application in a mule deer population in california, usa, we demonstrated the utility of spatially explicit capture recapture (scr) analysis of fecal dna samples to obtain precise estimates of abundance and density of mule deer at the population level. this method can provide a particularly useful way for wildlife managers to monitor deer abundance in forested areas where visibility limits feasibility of aerial surveys. the scr models additionally allow for integration of environmental variables as predictors of density and estimation of survival and recruitment in longer term studies."
population dynamics of wild rodents induce stochastic fadeouts of a zoonotic pathogen,agent based model; apodemus flavicollis; dobrava-belgrade virus; stochastic fadeout; zoonotic spillover,JOURNAL OF ANIMAL ECOLOGY,GUZZETTA G;TAGLIAPIETRA V;PERKINS SE;HAUFFE HC;POLETTI P;MERLER S;RIZZOLI A,"stochastic processes play an important role in the infectious disease dynamics of wildlife, especially in species subject to large population oscillations. here, we study the case of a free ranging population of yellow-necked mice (apodemus flavicollis) in northern italy, where circulation of dobrava-belgrade hantavirus (dobv) has been detected intermittently since 2001, until an outbreak emerged in 2010. we analysed the transmission dynamics of the recent outbreak using a computational model that accounts for seasonal changes of the host population and territorial behaviour. model parameters were informed by capture-mark-recapture data collected over 14years and longitudinal seroprevalence data from 2010 to 2013. the intermittent observation of dobv before 2010 can be interpreted as repeated stochastic fadeouts after multiple introductions of infectious rodents migrating from neighbouring areas. we estimated that only 20% of introductions in a naive host population results in sustained transmission after 2years, despite an effective reproduction number well above the epidemic threshold (mean 4<bold></bold>5, 95% credible intervals, ci: 0<bold></bold>65-15<bold></bold>8). following the 2010 outbreak, dobv has become endemic in the study area, but we predict a constant probability of about 4<bold></bold>7% per year that infection dies out, following large population drops in winter. in the absence of stochastic fadeout, viral prevalence is predicted to continue its growth to an oscillating equilibrium around a value of 24% (95% ci: 3-57). we presented an example of invasion dynamics of a zoonotic virus where stochastic fadeout have played a major role and may induce future extinction of the endemic infection."
hidden survival heterogeneity of three common eider populations in response to climate fluctuations,arctic; hidden states; life-history strategy; mixture models; multi-event; nao; seabirds,JOURNAL OF ANIMAL ECOLOGY,GUERY L;DESCAMPS S;PRADEL R;HANSSEN SA;ERIKSTAD KE;GABRIELSEN GW;GILCHRIST HG;BETY J,"understanding how individuals and populations respond to fluctuations in climatic conditions is critical to explain and anticipate changes in ecological systems. most such studies focus on climate impacts on single populations without considering inter- and intra-population heterogeneity. however, comparing geographically dispersed populations limits the risk of faulty generalizations and helps to improve ecological and demographic models. we aimed to determine whether differences in migration tactics among and within populations would induce inter- or intra-population heterogeneity in survival in relation to winter climate fluctuations. our study species was the common eider (somateria mollissima), a marine duck with a circumpolar distribution, which is strongly affected by climatic conditions during several phases of its annual cycle. capture-mark-recapture data were collected in two arctic (northern canada and svalbard) and one subarctic (northern norway) population over a period of 18, 15, and 29years respectively. these three populations have different migration tactics and experience different winter climatic conditions. using multi-event and mixture modelling, we assessed the association between adult female eider survival and winter conditions as measured by the north atlantic oscillation (nao) index. we found that winter weather conditions affected the survival of female eiders from each of these three populations. however, different mechanisms seemed to be involved. survival of the two migrating arctic populations was impacted directly by changes in the nao, whereas the subarctic resident population was affected by the nao with time lags of 2-3years. moreover, we found evidence for intra-population heterogeneity in the survival response to the winter nao in the canadian eider population, where individuals migrate to distinct wintering areas. our results illustrate how individuals and populations of the same species can vary in their responses to climate variation. we suspect that the found variation in the survival response of birds to winter conditions is partly explained by differences in migration tactic. detecting and accounting for inter- and intra-population heterogeneity will improve our predictions concerning the response of wildlife to global changes."
effects of environmental covariates and density on the catchability of fish populations and interpretation of catch per unit effort trends,capture probability; catchability; stock assessment; mark-recapture; fishery-independent surveys,FISHERIES RESEARCH,KORMAN J;YARD MD,"quantifying temporal and spatial trends in abundance or relative abundance is required to evaluate effects of harvest and changes in habitat for exploited and endangered fish populations. in many cases, the proportion of the population or stock that is captured (catchability or capture probability) is unknown but is often assumed to be constant over space and time. we used data from a large-scale mark-recapture study to evaluate the extent of spatial and temporal variation, and the effects of fish density, fish size, and environmental covariates, on the capture probability of rainbow trout (oncorhynchus mykiss) in the colorado river, az. estimates of capture probability for boat electrofishing varied 5-fold across five reaches, 2.8-fold across the range of fish densities that were encountered, 2.1-fold over 19 trips, and 1.6-fold over five fish size classes. shoreline angle and turbidity were the best covariates explaining variation in capture probability across reaches and trips. patterns in capture probability were driven by changes in gear efficiency and spatial aggregation, but the latter was more important. failure to account for effects of fish density on capture probability when translating a historical catch per unit effort time series into a time series of abundance, led to 2.5-fold underestimation of the maximum extent of variation in abundance over the period of record, and resulted in unreliable estimates of relative change in critical years. catch per unit effort surveys have utility for monitoring long-term trends in relative abundance, but are too imprecise and potentially biased to evaluate population response to habitat changes or to modest changes in fishing effort. (c) 2017 elsevier b.v. all rights reserved."
the influence of climatic variation and density on the survival of an insular passerine zosterops lateralis,NA,PLOS ONE,SANDVIG EM;COULSON T;KIKKAWA J;CLEGG SM,"understanding the influence of environmental factors on population dynamics is fundamental to many areas in biology. survival is a key factor of population biology, as it is thought to be the predominant driver of growth in long-lived passerines, which can be influenced by both biotic and abiotic environmental conditions. we used mark-recapture methods and generalized linear mixed models to test the influence of density and climatic variation, measured at a regional and local scale (southern oscillation index [soi] and rainfall, respectively), on seasonal variation in survival rates of an insular population of silvereyes (zosterops lateralis chlorocephalus), during a 15-year study period, off the east coast of australia. we found overall high survival rates for adults and juveniles (81% and 59%, respectively). local scale climate (i.e. rainfall) and density were the principal environmental factors influencing their survival, both with a negative relationship. a significant interactive effect of density and rainfall influenced survival as they both increased. however, survival remained low when density was at it highest, independent of the amount of rainfall. nestling survival was negatively influenced by rainfall and density, positively by soi, and chicks that hatched later in the breeding season had higher survival rates. the regional scale climate variable (i.e. soi) did not explain survival rates as strongly as rainfall in any age class. our results contribute to the understanding of insular avian population dynamics and the differential effects of environmental factors across age classes. climatic predictions expect el nino events to increase, meaning dryer conditions in eastern australia, potentially increasing silvereye survival across age classes. however, the long-term effect of lower rainfall on food availability is unknown; consequently, the outcome of lower rainfall on silvereye survival rates is uncertain."
quantifying dispersal of a non-aggressive saprophytic bark beetle,NA,PLOS ONE,MEURISSE N;PAWSON S,"long distance dispersal to locate suitable breeding sites is recognized as a key trait influencing the population dynamics and distribution of bark beetles and other saprophytic insects. while dispersal behavior has been studied for a range of aggressive 'tree killing' bark beetles, few have considered the dispersal behaviour of non-aggressive saprophytic bark beetles that utilize kairomones (host volatiles). we present the results of a mark-recapture experiment that examined adult dispersal patterns of the saprophytic bark beetle hylurgus ligniperda. releases took place in summer and autumn 2014, in a clearcut pine forest in the central north island, new zealand. both flight-experienced and flight-naive adults were marked and released in the center of a circular trap grid that extended to 960 m with 170 or 200 panel traps baited with a kairomone blend of alpha-pinene and ethanol. of the 18,464 released h. ligniperda, 9,209 (49.9%) of the beetles flew, and 96 (1.04%) of the beetles that flew were recaptured. individuals were recaptured at all distances. the recapture of flightexperienced beetles declined with dispersal distance, and a diffusion model showed heterogeneous dispersal tendencies within the population. our best model estimated that 46% of flight-experienced beetles disperse > 1 km, and 1.6% > 5 km. conversely, no declining pattern was shown in the recapture of flight-naive beetles, suggesting that emerging h. ligniperda may require a period of flight to initiate chemotropic orientation behavior and subsequent attraction to traps. we discuss the implications of these findings for the management of phytosanitary risks. for instance, combining landscape knowledge of source populations with dispersal processes facilitates estimation of pest pressure at economically sensitive areas such as harvest and timber storage sites. quantitative dispersal estimates also inform pest risk assessments by predicting spread rates for h. ligniperda that has proven establishment capabilities in other countries."
estimating survival in the apennine brown bear accounting for uncertainty in age classification,apennine brown bear; hair-snagging; multievent models; non-invasive genetic sampling; small populations; survival,POPULATION ECOLOGY,GERVASI V;BOITANI L;PAETKAU D;POSILLICO M;RANDI E;CIUCCI P,"for most rare and elusive species, estimating age-specific survival is a challenging task, although it is an important requirement to understand the drivers of population dynamics, and to inform conservation actions. apennine brown bears ursus arctos marsicanus are a small, isolated population under a severe risk of extinction, for which the main demographic mechanisms underlying population dynamics are still unknown, and population trends have not been formally assessed. we present a 12-year analysis of their survival rates using non-invasive genetic sampling data collected through four different sampling techniques. by using multi-event capture-recapture models, we estimated survival probabilities for two broadly defined age classes (cubs and older individuals), even though the age of the majority of sampled bears was unknown. we also applied the pradel model to provide a preliminary assessment of population trend during the study period. survival was different between cubs [i center dot = 0.51, 95% ci (0.22, 0.79)], adult males [i center dot = 0.85, 95% ci (0.76, 0.91)] and adult females [i center dot = 0.92, 95% ci (0.87, 0.95)], no temporal variation in survival emerged, suggesting that bear survival remained substantially stable throughout the study period. the pradel analysis of population trend yielded an estimate of lambda = 1.009 [se = 0.018; 95% ci (0.974, 1.046)]. our results indicate that, despite the status of full legal protection, the basically stable demography of this relict population is compatible with the observed lack of range expansion, and that a relatively high cub mortality could be among the main factors depressing recruitment and hence population growth."
early-life density-dependence effects on growth and survival in subantarctic fur seals,arctocephalus tropicalis; capture-mark-recapture; growth model; marine top predator; population dynamics; state space model,POPULATION ECOLOGY,PACOUREAU N;AUTHIER M;DELORD K;GUINET C;BARBRAUD C,"understanding the regulation of natural populations has been a long-standing research program in ecology. current knowledge on marine mammals and seabirds is biased toward the adult component of populations and lacking are studies investigating the juvenile component. our goal was to estimate demographic parameters on the pre-weaning stage of a subantarctic fur seal (arctocephalus tropicalis) population on amsterdam island, suspected to be regulated by density-dependence. the influence of abundance on growth parameters (length and weight) and survival was assessed over a study period spanning 16 years. we evidenced a negative trend in population growth rate when density increased. density-dependence models were favored for pup body size and mass growth. abundance had a clear influence on body length at high population-density, pups grew slower and were smaller at weaning than pups born in years with low population density. abundance partly explained pup body mass variation and a weak effect was detected on pre-weaning survival. the causal mechanisms may be increased competition for food resources between breeding females, leading to a reduction of maternal input to their pups. our results suggested that pup favored survival over growth and the development of their diving abilities in order to withstand the extreme fasting periods that are characteristic of this fur seal population. this analysis provides significant insight of density-dependent processes on early-life demographic parameters of a long lived and top-predator species, and more specifically on the pre-weaning stage with important consequences for our understanding of individual long-term fitness and population dynamics."
"monitoring the saproxylic longhorn beetle morimus asper: investigating season, time of the day, dead wood characteristics and odour traps",cerambycidae; coleoptera; detection probability; freshly cut log piles; morimus funereus; pitfall traps,JOURNAL OF INSECT CONSERVATION,HARDERSEN S;CUCCURULLO A;BARDIANI M;BOLOGNA MA;MAURA M;MAURIZI E;ROVERSI PF;PEVERIERI GS;CHIARI S,"monitoring of rare or localized saproxylic species is essential for assessing species extinction risk and to investigate the ecological integrity of forests. morimus asper (sulzer, 1776) (coleoptera, cerambycidae) is a longhorn beetle for which many aspects of its biology are still unknown and this hampers the development of a standard monitoring protocol. here we investigated two different systems to attract m. asper in the reserve bosco della fontana (italy): freshly cut log piles (fclps) and pitfall traps baited with selected chemical compounds. the fclps were composed from logs of two tree species (quercus robur l. or carpinus betulus l.) utilizing wood of three diameter classes (small: 5-12 cm; medium: 13-30 cm; large: 31-60 cm). the occurrence and the detection of m. asper varied during the season and during the time of the day. m. asper was more common in the first half of the season and was more frequently detected at 20:00. occupancy models did not show a clear influence of log diameter and tree species on species occupancy. in contrast, when analysing the abundance data, a significantly higher number of individuals was intercepted on fclps made from q. robur and on those with a diameter above 13 cm. the baited pitfall traps did not catch any m. asper, even though some of the substances tested are known to attract other species belonging to the same subfamily (lamiinae)."
"context-dependent local movements of the blue-tailed damselfly, ischnura elegans: effects of pond characteristics and the landscape matrix",odonates; environmental context; capture-mark-recapture; individual tracking; translocation,JOURNAL OF INSECT CONSERVATION,LE GALL M;CHAPUT BARDY A;HUSTE A,"the loss of ponds and the fragmentation of their surrounding landscape negatively impacts the biodiversity of wetlands, such as damselflies. they are short-distance dispersers and can be influenced by the quality of suitable habitats and the landscape matrix. the aim of this study was to test the effect of the environmental context (i.e. pond characteristics and the surrounding landscape) on movements and survival probability in a damselfly species, ischnura elegans. three approaches (i.e. capture-mark-recapture, individual tracking and translocation studies) were performed in northwestern france. the characteristics of ponds did not influence damselfly survival. however, the landscape context affected movements within ponds, and between ponds. individuals from open-field ponds moved over longer distances than individuals from urban ponds. moreover, in cases of disturbances, such as a pond drying up, movements from one pond to another were observed only in the open-field context. the ecological quality of the pond did not appear to affect survival of individuals, probably because i. elegans has a high tolerance to changes in ecological factors. however, higher local movements depend on the degree of openness of the landscape. landscape context is hence a key issue in damselfly conservation planning and in maintaining ecological continuities, such as along greenways and blueways, and specifically the degree of landscape openness during pond creation."
male greater sage-grouse movements among leks,availability bias; centrocercus urophasianus; greater sage-grouse; interlek movements; lek fidelity; multistate mark-recapture; wyoming.,JOURNAL OF WILDLIFE MANAGEMENT,FREMGEN AL;ROTA CT;HANSEN CP;RUMBLE MA;GAMO RS;MILLSPAUGH JJ,"movements among leks by breeding birds (i. e., interlek movements) could affect the population ' s genetic flow, complicate use of lek counts as a population index, and indicate a change in breeding behavior following a disturbance. we used a bayesian multi-state mark-recapture model to assess the daily probability of male greater sage- grouse (centrocercus urophasianus) interlek movements and estimate factors influencing movements among leks. we fitted 145 males with solar argos global positioning systems platform transmitter terminals over 4 years (2011-2014) in carbon county, wyoming, usa. the daily probability of a male sage- grouse moving among leks ranged 0.003 (95% ci =0.000-0.010) in 2011 to 0.010 (95% ci = 0.001-0.021) in 2013, indicating high daily lek fidelity throughout the season, although there was a 5-42% chance annually a male would move at least once to another lek throughout the season (x days analyzed/m= 55 +/- 3.3 days [se]). interlek movement probabilities were strongly affected by day of year, peaking early in the lek season. interlek movements were positively associated with elevation. seasonal interlek movements occurredmore frequently than previously reported, and can bias lek counts in early spring as males move from low to high elevation leks, which reinforces interlek movements as a critical component of lek ecology. (c) 2017 the wildlife society."
