origin;tags;title;keywords;journal;authors;abstract
methods;Misidentification, genetic tagging, camera trapping;maximum likelihood estimation for model m-t,m-alpha for capture-recapture data with misidentification;"genetic capture-recapture; latent multinomial; mark recapture; misidentification; natural tags; photo-identification";BIOMETRICS;"VALE RTR;FEWSTER RM;CARROLL EL;PATENAUDE NJ";we investigate model mt, for abundance estimation in closed-population capture-recapture studies, where animals are identified from natural marks such as dna profiles or photographs of distinctive individual features. model mt, extends the classical model mt to accommodate errors in identification, by specifying that each sample identification is correct with probability and false with probability 1-. information about misidentification is gained from a surplus of capture histories with only one entry, which arise from false identifications. we derive an exact closed-form expression for the likelihood for model mt, and show that it can be computed efficiently, in contrast to previous studies which have held the likelihood to be computationally intractable. our fast computation enables us to conduct a thorough investigation of the statistical properties of the maximum likelihood estimates. we find that the indirect approach to error estimation places high demands on data richness, and good statistical properties in terms of precision and bias require high capture probabilities or many capture occasions. when these requirements are not met, abundance is estimated with very low precision and negative bias, and at the extreme better properties can be obtained by the naive approach of ignoring misidentification error. we recommend that model mt, be used with caution and other strategies for handling misidentification error be considered. we illustrate our study with genetic and photographic surveys of the new zealand population of southern right whale (eubalaena australis).
methods;Tag loss, HMM;hidden markov model for dependent mark loss and survival estimation;"capture-recapture; cormack-jolly-seber (cjs); hidden markov model; mark loss; tag loss";JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;"LAAKE JL;JOHNSON DS;DIEFENBACH DR;TERNENT MA";mark-recapture estimators assume no loss of marks to provide unbiased estimates of population parameters. we describe a hidden markov model (hmm) framework that integrates a mark loss model with a cormack-jolly-seber model for survival estimation. mark loss can be estimated with single-marked animals as long as a sub-sample of animals has a permanent mark. double-marking provides an estimate of mark loss assuming independence but dependence can be modeled with a permanently marked sub-sample. we use a log-linear approach to include covariates for mark loss and dependence which is more flexible than existing published methods for integrated models. the hmm approach is demonstrated with a dataset of black bears (ursus americanus) with two ear tags and a subset of which were permanently marked with tattoos. the data were analyzed with and without the tattoo. dropping the tattoos resulted in estimates of survival that were reduced by 0.005-0.035 due to tag loss dependence that could not be modeled. we also analyzed the data with and without the tattoo using a single tag. by not using. supplementary materials accompanying this paper appear on-line.
methods;Missing data, incomplete identification, mark-resighting, ;mark-resight abundance estimation under incomplete identification of marked individuals;"capture-resight; latent variables; mark-recapture; mark-resighting; missing data; population size";METHODS IN ECOLOGY AND EVOLUTION;"MCCLINTOCK BT;HILL JM;FRITZ L;CHUMBLEY K;LUXA K;DIEFENBACH DR";often less expensive and less invasive than conventional mark-recapture, so-called 'mark-resight' methods are popular in the estimation of population abundance. these methods are most often applied when a subset of the population of interest is marked (naturally or artificially), and non-invasive sighting data can be simultaneously collected for both marked and unmarked individuals. however, it can often be difficult to identify marked individuals with certainty during resighting surveys, and incomplete identification of marked individuals is potentially a major source of bias in mark-resight abundance estimators. previously proposed solutions are ad hoc and will tend to underperform unless marked individual identification rates are relatively high (>90%) or individual sighting heterogeneity is negligible. based on a complete data likelihood, we present an approach that properly accounts for uncertainty in marked individual detection histories when incomplete identifications occur. the models allow for individual heterogeneity in detection, sampling with (e.g. poisson) or without (e.g. bernoulli) replacement, and an unknown number of marked individuals. using a custom markov chain monte carlo algorithm to facilitate bayesian inference, we demonstrate these models using two example data sets and investigate their properties via simulation experiments. we estimate abundance for grassland sparrow populations in pennsylvania, usa when sampling was conducted with replacement and the number of marked individuals was either known or unknown. to increase marked individual identification probabilities, extensive territory mapping was used to assign incomplete identifications to individuals based on location. despite marked individual identification probabilities as low as 67% in the absence of this territorial mapping procedure, we generally found little return (or need) for this time-consuming investment when using our proposed approach. we also estimate rookery abundance from alaskan steller sea lion counts when sampling was conducted without replacement, the number of marked individuals was unknown, and individual heterogeneity was suspected as non-negligible. in terms of estimator performance, our simulation experiments and examples demonstrated advantages of our proposed approach over previous methods, particularly when marked individual identification probabilities are low and individual heterogeneity levels are high. our methodology can also reduce field effort requirements for marked individual identification, thus, allowing potential investment into additional marking events or resighting surveys.
methods;heterogeneity;mc(mc)mc: exploring monte carlo integration within mcmc for mark-recapture models with individual covariates;"data augmentation; mark-recapture; markov chain monte carlo; monte carlo integration; monte carlo within mcmc";METHODS IN ECOLOGY AND EVOLUTION;"BONNER S;SCHOFIELD M";estimating abundance from mark-recapture data is challenging when capture probabilities vary among individuals. initial solutions to this problem were based on fitting conditional likelihoods and estimating abundance as a derived parameter. more recently, bayesian methods using full likelihoods have been implemented via reversible jump markov chain monte carlo sampling (rjmcmc) or data augmentation (da). the latter approach is easily implemented in available software and has been applied to fit models that allow for heterogeneity in both open and closed populations. however, both rjmcmc and da may be inefficient when modelling large populations. we describe an alternative approach using monte carlo (mc) integration to approximate the posterior density within a markov chain monte carlo (mcmc) sampling scheme. we show how this monte carlo within mcmc (mcwm) approach may be used to fit a simple, closed population model including a single individual covariate and present results from a simulation study comparing rjmcmc, da and mcwm. we found that mcwm can provide accurate inference about population size and can be more efficient than both rjmcmc and da. the efficiency of mcwm can also be improved by using advanced mc methods like antithetic sampling. finally, we apply mcwm to estimate the abundance of meadow voles (microtus pennsylvanicus) at the patuxent wildlife research center in 1982 allowing for capture probabilities to vary as a function body mass.
methods;dispersal, spatial, true survival;estimating true instead of apparent survival using spatial cormack-jolly-seber models;"cormack-jolly-seber model; dispersal; lanius collurio; movement; sampling bias; spatial capture-recapture";METHODS IN ECOLOGY AND EVOLUTION;"SCHAUB M;ROYLE JA";survival is often estimated from capture-recapture data using cormack-jolly-seber (cjs) models, where mortality and emigration cannot be distinguished, and the estimated apparent survival probability is the product of the probabilities of true survival and of study area fidelity. consequently, apparent survival is lower than true survival unless study area fidelity equals one. underestimation of true survival from capture-recapture data is a main limitation of the method. we develop a spatial version of the cjs model that allows estimation of true survival. besides the information about whether a specific individual was encountered at a given occasion, it is often recorded where the encounter occurred. thus, information is available about the fraction of dispersal that occurs within the study area, and we use it to model dispersal and estimate true survival. our model is formulated hierarchically and consists of survival, dispersal and observation submodels, assuming that encounters are possible anywhere within a study area. in a simulation study, our new spatial cjs model produced accurate estimates of true survival and dispersal behaviour for various sizes and shapes of the study area, even if emigration is substantial. however, when the information about dispersal is scarce due to low survival, low recapture probabilities and high emigration, the estimators are positively biased. moreover, survival estimates are sensitive to the assumed dispersal kernel. we applied the spatial cjs model to a data set of adult red-backed shrikes (lanius collurio). apparent survival of males (c.05) estimated with the cjs model was larger than in females (c.04), but the application of the spatial cjs model revealed that both sexes had similar survival probabilities (c.06). the mean breeding dispersal distance in females was c.700m, while males dispersed only c.250m between years. spatial cjs models enable study of dispersal and survival independent of study design constraints such as imperfect detection and size of the study area provided that some of the dispersing individuals remain in the study area. we discuss possible extensions of our model: alternative dispersal models and the inclusion of covariates and of a habitat suitability map.
methods;SCR, temporary emigration, robust design, true survival;separating mortality and emigration: modelling space use, dispersal and survival with robust-design spatial capture-recapture data;"arvicoline (arvicolinae) rodents; bayesian analysis; competing risks; dispersal ecology; hierarchical modelling; individual random effects; life-history evolution; openbugs; winbugs; jags; posterior predictive checks; spacing behaviour";METHODS IN ECOLOGY AND EVOLUTION;"ERGON T;GARDNER B";capture-recapture (cr) techniques are commonly used to gain information about population dynamics, demography and life-history traits of populations. however, traditional cr models cannot separate mortality from emigration. recently developed spatial-capture-recapture (scr) models explicitly incorporate spatial information into traditional cr models, thus allowing for individuals' movements to be modelled explicitly. in this paper, we extend scr models using robust-design data to allow for both processes in which individuals can disappear from the population, mortality and dispersal, to be estimated separately. we formulate a general robust-design spatial capture-recapture (rd-scr) model, explore the properties of the model in a simulation study and compare the results to a cormack-jolly-seber model and a non-spatial robust-design model with temporary emigration. in the case study, we fit several versions of the general model to data on field voles (microtus agrestis) and compare the results with those from the non-spatial models fitted to the same data. we also evaluate assumptions of the fitted models with a series of simulation-based posterior predictive goodness-of-fit checks that are applicable to the scr models in general and the rd-scr model in particular. the simulation results show that the model preforms well under a wide range of dispersal distances. our model outperforms the traditional cr models in terms of both accuracy and precision for survival. the case study showed that adult females have an c. 35 times higher mortality rate than adult males. males have larger home ranges and disperse longer distances than females, but both males and females mostly move their activity centres within their previous home range between trapping sessions at 3-week intervals. our rd-scr model has several advantages compared to other approaches to estimate true' survival instead of only apparent' survival. additionally, the model extracts information about space use and dispersal distributions that are relevant for behavioural studies as well as studies of life-history variation, population dynamics and management. the model can be widely applied due to the flexible framework, and other variations of the model could easily be implemented.
methods;heterogeneity, GEE;a generalized estimating equations approach for capture-recapture closed population models;"capture-recapture experiment; gee; heterogeneity; model selection; population size estimation; qic";ENVIRONMENTAL AND ECOLOGICAL STATISTICS;"AKANDA MAS;ALPIZAR JARA R";the estimation of population density animal population parameters, such as capture probability, population size, or population density, is an important issue in many ecological applications. capture-recapture data may be considered as repeated observations that are often correlated over time. if these correlations are not taken into account then parameter estimates may be biased, possibly producing misleading results. we propose a generalized estimating equations (gee) approach to account for correlation over time instead of assuming independence as in the traditional closed population capture-recapture studies. we also account for heterogeneity among observed individuals and over-dispersion, modelling capture probabilities as a function of covariates. the gee versions of all closed population capture-recapture models and their corresponding estimating equations are proposed. we evaluate the effect of accounting for correlation structures on capture-recapture model selection based on the quasi-likelihood information criterion (qic). an example is used for an illustrative application and for comparison to currently used methodology. a horvitz-thompson-like estimator is used to obtain estimates of population size based on conditional arguments. a simulation study is conducted to evaluate the performance of the gee approach in capture-recapture studies. the gee approach performs well for estimating population parameters, particularly when capture probabilities are high. the simulation results also reveal that estimated population size varies on the nature of the existing correlation among capture occasions.
methods;NA;advances and applications of occupancymodels;"amphibian disease; batrachochytrium dendrobatidis; detection probability; dynamic multistate occurrence models; false positive; misidentification; multiscale; study design";METHODS IN ECOLOGY AND EVOLUTION;"BAILEY LL;MACKENZIE DI;NICHOLS JD";the past decade has seen an explosion in the development and application of models aimed at estimating species occurrence and occupancy dynamics while accounting for possible non-detection or species misidentification. we discuss some recent occupancy estimation methods and the biological systems that motivated their development. collectively, these models offer tremendous flexibility, but simultaneously place added demands on the investigator. unlike many mark-recapture scenarios, investigators utilizing occupancy models have the ability, and responsibility, to define their sample units (i.e. sites), replicate sampling occasions, time period over which species occurrence is assumed to be static and even the criteria that constitute detection' of a target species. subsequent biological inference and interpretation of model parameters depend on these definitions and the ability to meet model assumptions. we demonstrate the relevance of these definitions by highlighting applications from a single biological system (an amphibian-pathogen system) and discuss situations where the use of occupancy models has been criticized. finally, we use these applications to suggest future research and model development.
methods;IPM, SCR;spatially explicit integrated population models;"count data; detection data; integrated population models; louisiana black bear; population dynamics; spatial capture-recapture; spatial scaling";METHODS IN ECOLOGY AND EVOLUTION;"CHANDLER RB;CLARK JD";"studies of demographic processes are typically restricted to small geographic areas and short time periods due to the costs of marking and monitoring individuals. however, environmental changes are occurring at much broader spatial and temporal scales, and thus, inferences about the mechanisms governing population dynamics need to be scaled accordingly. recently developed integrated population models (ipms) represent an approach for doing so, by jointly analysing survey data and capture-recapture data. although promising, several shortcomings of conventional ipms exist, including difficulties accounting for spatial variation in demographic, movement and detection parameters; limited ability to make spatially explicit predictions of abundance or vital rates; and a requirement that the survey data and the capture-recapture data are independent. we demonstrate how each of these limitations can be resolved by adopting a spatial population dynamics model upon which both the survey data and the capture-recapture data are conditioned. we applied the model to 6 years of hair data collected on the threatened louisiana black bear ursus americanus luteolus. for years in which the hair samples were genotyped, the resulting data are information-rich (but expensive) spatial capture-recapture (scr) data. for the remaining years, the data are binary detection data, of the type often analysed using occupancy models. we compared estimates of demographic parameters and annual abundance using various combinations of the scr and detection data, and found that combining the scr data and the detection data resulted in more precise estimates of abundance relative to estimates that did not use the detection data. a simulation study provided additional evidence of increased precision, as well as evidence that the estimators of annual abundance are approximately unbiased. the ability to combine survey data and capture-recapture data using a spatially explicit model opens many possibilities for designing cost effective studies and scaling up inferences about the demographic processes influencing spatial and temporal population dynamics."
methods;Behavior, missing data, genetic tagging, non-identification;accounting for behavioural response to capture when estimating population size from hair snare studies with missing data;"behavioural response; closed population; dna; hair snare; mark-recapture; missing data";METHODS IN ECOLOGY AND EVOLUTION;"AUGUSTINE BC;TREDICK CA;BONNER SJ";1 hair snares have become an established method for obtaining mark-recapture data for population size estimation of ursids and have recently been used to study other species including other carnivores, small mammals and ungulates. however, bias due to a behavioural response to capture in the presence of missing data has only recently been recognized and no statistical methodology exists to accommodate it. in a hair snare mark-recapture experiment, data can be missing if animals encounter a hair snare without leaving a hair sample, poor-quality samples are not genotyped, a fraction of all samples collected are genotyped due to cost considerations (subsampling) and/or not all genotyped hair samples provide an individual identification. these are all common features of hair snare mark-recapture experiments. here, we present methodology that accounts for a behavioural response to capture in the presence of missing data from (i) subsampling and (ii) failure of hair samples to produce an individual identification. four subprocesses are modelled-animal capture, hair deposition, researcher subsampling and dna amplification with key parameters estimated from functions of the number of hair samples left by individuals at traps. we assess the properties of this methodology (bias and interval coverage) via simulation and then apply this methodology to a previously published data set. our methodology removes bias and provides nominal interval coverage of population size for the simulation scenarios considered. in the example data set, we find that removing 75% of the hair samples leads to a 40% lower estimate of population size. our methodology corrects about half of this bias and we identify a second source of bias that has not previously been reported associated with differential trap visitation rates among individuals within trapping occasions. our methodology will allow researchers to reliably estimate the size of a closed population in the presence of a behavioural response to capture and missing data for a subset of missing data scenarios. it also provides a framework for understanding this generally unrecognized problem and for further extension to handle other missing data scenarios.
methods;Distance sampling;using mark-recapture distance sampling methods on line transect surveys;"mark-recapture; distance sampling; line transects; double-observer survey; program distance";METHODS IN ECOLOGY AND EVOLUTION;"BURT ML;BORCHERS DL;JENKINS KJ;MARQUES TA";"1.mark-recapture distance sampling (mrds) methods are widely used for density and abundance estimation when the conventional ds assumption of certain detection at distance zero fails, as they allow detection at distance zero to be estimated and incorporated into the overall probability of detection to better estimate density and abundance. however, incorporating mr data in ds models raises survey and analysis issues not present in conventional ds. conversely, incorporating ds assumptions in mr models raises issues not present in conventional mr. as a result, being familiar with either conventional ds methods or conventional mr methods does not on its own put practitioners in good a position to apply mrds methods appropriately. this study explains the sometimes subtly different varieties of mrds survey methods and the associated concepts underlying mrds models. this is done as far as possible without giving mathematical details - in the hope that this will make the key concepts underlying the methods accessible to a wider audience than if we were to present the concepts via equations. we illustrate use of the two main types of mrds model by using data collected on two different types of survey: a survey of ungulate faecal pellets where two observers searched independently of each other; and a cetacean survey that used a search protocol that could accommodate responsive movement, with only one observer searching independently and the other being aware of all detections.synthesis and applications. mark-recapture ds is a widely used method for estimating animal density and abundance when detection of animals at distance zero is not certain. two observer configurations and three statistical models are described, and it is important to choose the most appropriate model for the observer configuration and target species in question. by way of making the methods more accessible to practicing ecologists, we describe the key ideas underlying mrds methods, the sometimes subtle differences between them, and we illustrate these by applying different kinds of mrds method to surveys of two different target species using different survey configurations."
methods;IPM, PVA;using integrated population models to improve conservation monitoring: california spotted owls as a case study;"california spotted owl; integrated population model; markov chain monte carlo; population analysis; population decline";ECOLOGICAL MODELLING;"TEMPEL DJ;PEERY MZ;GUTIERREZ RJ";"integrated population models (ipms) constitute a relatively new approach for estimating population trends and demographic parameters that makes use of multiple, independent data sources (e.g., count and mark-recapture data) within a unified statistical framework. in principle, ipms offer several advantages over more conventional modeling approaches that rely on a single source of data, including greater precision in parameter estimates and the ability to estimate demographic parameters for which no explicit data are available. however, to date, the ipm literature has focused primarily on model development and evaluation, and few ""real-world"" applications have demonstrated that ipms can strengthen inferences about population dynamics in a species of conservation concern. here, we combined 23 years of count, occupancy, reproductive, and mark-recapture data into an ipm framework to estimate population trends and demographic rates in a population of california spotted owls (strix occidentalis occidentalis). using this framework, we observed a significant population decline, as evidenced by the geometric mean of the finite annual rate of population change ( <(<(lambda)over bar>(t) )over cap> = 0.969, 95% cri 0.957-0.980) and the resulting realized population change (proportion of the initial population present in 2012; (delta) over cap (2012) = 0.501, 95% cri 0.383-0.641). the estimated decline was considerably greater than the approximately 30% decline estimated using conventional mark-recapture and occupancy approaches (tempel and gutierrez, 2013). the ipm likely yielded a greater decline because it allowed for the inclusion of three years of data from the beginning of the study that were omitted from previous analyses to meet the assumptions of mark-recapture models. the ipm may also have yielded a greater estimate of decline than occupancy models owing to an increase in the number of territories occupied by single owls over the study period. all demographic parameters (adult and juvenile apparent survival, reproductive rate, immigration rate) were positively correlated with (lambda) over cap (t), but immigration was fairly high ((immt) over cap = 0.097, 95% cri 0.055-0.140) and contributed most to temporal variation in (lambda) over cap (t), suggesting that changes in owl abundance were influenced by processes occurring outside of our study area. more broadly, our results indicated that the ipm framework has the potential to strengthen inference in population monitoring and demographic studies, particularly for those involving long-lived species whose abundance may be slowly declining. in our case, the conservation implications from the results of the ipm suggested a decline in the population of owls that was steeper than previously thought. (c) 2014 elsevier b.v. all rights reserved."
methods;Left truncation, neonate survival;dead before detection: addressing the effects of left truncation on survival estimation and ecological inference for neonates;"age-dependent survival; truncated data; mark recapture; population ecology; survival analysis; wildlife; neonate";METHODS IN ECOLOGY AND EVOLUTION;"GILBERT SL;LINDBERG MS;HUNDERTMARK KJ;PERSON DK";"<list list-type=""1"" id=""mee312234-list-0001""> neonate survival is a key life history trait, yet remains challenging to measure in wild populations because neonates can be difficult to capture at birth. estimates of survival from neonates that are opportunistically captured might be inaccurate because some individuals die before sampling, resulting in data that are left truncated. the resulting overestimation of survival rates can further affect ecological inference through biased estimates of covariate effects in survival models, yet is not addressed in most studies of animal survival. here, we quantify the effects of left truncation on survival estimates and subsequent ecological inference. vaginal implant transmitters (vits) enable capture of ungulates at birth, yielding data without left truncation. the effects of left truncation on survival estimation were quantified using age-dependent survival models for vit and opportunistically captured neonatal deer. differences in daily survival rates (dsrs) and cumulative survival probability were calculated for the first 70days of life. in addition, left truncation was simulated by removing fawns that died during the first 1 or 2days of life from the vit-caught sample, isolating the effect of left truncation. cumulative probability of survival during the first 70days of life was overestimated by 7-23% for fawns caught opportunistically compared with those caught by vit, depending on model design. differences in dsrs were large at age 1day, but had converged by age 30days. simulated left truncation resulted in overestimates of survival of up to 31%. model selection and covariate coefficients were strongly affected by left truncation, producing spurious ecological inference, including changes to sign and/or magnitude of inferred effects of all covariates. we recommend (i) every effort be made to capture neonates; (ii) consistent capture methods, using at least in part non-truncating techniques, be implemented across years and study areas; and (iii) exclusion of left-truncated data from survival estimates until dsrs converge with those calculated from non-truncated data. this work emphasizes the importance of accounting for left truncation in survival estimation for any species with strong age-dependent survival in order to prevent biased conclusions produced by sampling method rather than true ecological effects. <doi origin=""wiley"" registered=""yes"">10.1111/(issn)2041-210x</doi"
methods;senescence, competing risks, frailty, HMM, covariates;methods for studying cause-specific senescence in the wild;"ageing; capture-reencounter; competing risk analysis; frailty; harvest; heterogeneity; hidden markov model; predation";METHODS IN ECOLOGY AND EVOLUTION;"KOONS DN;GAMELON M;GAILLARD JM;AUBRY LM;ROCKWELL RF;KLEIN F;CHOQUET R;GIMENEZ O";the founding evolutionary theories of ageing indicate that the force of mortality imposed by environmental factors should influence the strength of natural selection against actuarial senescence and its evolution. to rigorously test this idea, field biologists need methods that yield estimates of age-specific mortality according to cause of death. here, we present existing methods commonly applied in studies of human health that could be used to accomplish these goals in studies of wild species for which fate can be determined with certainty. we further present a new application of hidden markov models for capture-reencounter studies of wild animals that can be used to estimate age-specific trajectories of cause-specific mortality when detection is imperfect. by applying our new hidden markov model with the e-surge and mark softwares to capture-reencounter data sets for long-lived species, we demonstrate that senescence can be severe for natural causes of mortality in the wild, while being largely non-existent for anthropogenic causes. moreover, we show that conflation of mortality causes in commonly used survival analyses can induce an underestimation of the intensity of senescence and overestimation of mortality for pre-senescent adults. these biases have important implications for both age-structured population modelling used to guide conservation and comparative analyses of senescence across species. similar to frailty, individual differences in causes of death can generate individual heterogeneity that needs to be accounted for when estimating age-specific mortality patterns. the proposed hidden markov method and other competing risk estimators can nevertheless be used to formally account for these confounding effects, and we additionally discuss how our new method can be used to gain insight into the mechanisms that drive variation in ageing across the tree of life.
methods;heterogeneity;hierarchical modeling of abundance in closed population capture-recapture models under heterogeneity;"bayesian; capture recapture; complete data likelihood; data augmentation; hierarchical; mcmc; reversible jump; superpopulation; trans-dimensional";ENVIRONMENTAL AND ECOLOGICAL STATISTICS;"SCHOFIELD MR;BARKER RJ";hierarchical modeling of abundance in space or time using closed-population mark-recapture under heterogeneity (model) presents two challenges: (i) finding a flexible likelihood in which abundance appears as an explicit parameter and (ii) fitting the hierarchical model for abundance. the first challenge arises because abundance not only indexes the population size, it also determines the dimension of the capture probabilities in heterogeneity models. a common approach is to use data augmentation to include these capture probabilities directly into the likelihood and fit the model using bayesian inference via markov chain monte carlo (mcmc). two such examples of this approach are (i) explicit trans-dimensional mcmc, and (ii) superpopulation data augmentation. the superpopulation approach has the advantage of simple specification that is easily implemented in bugs and related software. however, it reparameterizes the model so that abundance is no longer included, except as a derived quantity. this is a drawback when hierarchical models for abundance, or related parameters, are desired. here, we analytically compare the two approaches and show that they are more closely related than might appear superficially. we exploit this relationship to specify the model in a way that allows us to include abundance as a parameter and that facilitates hierarchical modeling using readily available software such as bugs. we use this approach to model trends in grizzly bear abundance in yellowstone national park from 1986 to 1998.
methods;Random effects;fitting animal survival models with temporal random effects;"band return; generalized linear mixed models; r software; ring recoveries; schall's algorithm";ENVIRONMENTAL AND ECOLOGICAL STATISTICS;"CUBAYNES S;LAVERGNE C;GIMENEZ O";estimating temporal variance in animal demographic parameters is of particular importance in population biology. we implement the schall's algorithm for incorporating temporal random effects in survival models using recovery data. our frequentist approach is based on a formulation of band-recovery models with random effects as generalized linear mixed models and a linearization of the link function conditional on the random effects. a simulation study shows that our procedure provides unbiased and precise estimates. the method is then implemented on two case studies using recovery data on fish and birds.
methods;GOF, data combination;diagnostic goodness-of-fit tests for joint recapture and recovery models;"contingency tables; great cormorants; multi-site models; parameter redundancy; permanent emigration; transience; trap-effects";JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;"MCCREA RS;MORGAN BJT;PRADEL R";diagnostic goodness-of-fit tests for capture-recapture models are routinely used prior to model fitting and analysis. however, when data include a mixture of live recaptures and dead recoveries, it is frequently standard practice for the information from recoveries not to be used, so that tests are applied to the recapture data alone. we present new diagnostic tests for joint recapture-recovery data, which make full use of all of the data, and evaluate their power through simulation. the importance of including all available data is clearly shown. we see in addition that current procedures may fail to identify the correct model. the work is generalised to the case of multi-site joint recapture-recovery data and is illustrated on a data set of great cormorants. this article has supplementary material online.
methods;SCR, assumptions;bias from heterogeneous usage of space in spatially explicit capture-recapture analyses;"bias; density estimates; heterogeneity; home range; resource selection function; rsf; secr; spatially explicit capture-recapture";METHODS IN ECOLOGY AND EVOLUTION;EFFORD MG;1. royle et al. (methods in ecology and evolution, 2013, 4, 520) proposed a spatially explicit capture-recapture (secr) model in which an animal's usage of a site, and hence its probability of detection, depends on a function of site-specific covariates normalized using a weighted sum of such values across the animal's home range. 2. from simulations supposedly based on the model, they drew the conclusion that existing methods will produce 'extremely biased' estimates of population size when animals use space selectively. this conclusion is faulty because they simulated data from a different model, omitting the normalization needed to represent selection of resources at the home-range level. 3. new simulations show that the null secr estimator of population size is nearly unbiased for low to moderate levels of selective space use when the generating model includes normalization. including detector-level covariates of detection, as allowed in standard software, nearly eliminates bias due to strongly selective space use, whether or not the generating model includes normalization.
methods;SCR, data combination, telemetry;reply to efford on 'integrating resource selection information with spatial capture-recapture';"animal population sampling; capture-recapture; density estimation; modelling; population ecology";METHODS IN ECOLOGY AND EVOLUTION;"ROYLE JA;CHANDLER RB;SUN CC;FULLER AK";1. we proposed (methods in ecology and evolution, 2013, 4) a model for combining telemetry data with spatial capture-recapture (scr) data that was vigorously criticized by efford (methods in ecology and evolution, 2014, 000, 000). efford's main claim was that our encounter probability model was incorrect, and therefore our r code and simulation results were wrong. 2. in fact, our encounter probability model is correct under the poisson point process model that we used as a basis for our integrated model. on the other hand, the basis for efford's claims clearly rest on the assumption of an alternative model which, while possibly useful, is distinct from that analysed in royle et al. (methods in ecology and evolution, 2013, 4). 3. a key point of royle et al. (methods in ecology and evolution, 2013, 4) was that active resource selection induces heterogeneity in encounter probability which, if unaccounted for, should bias estimates of population size or density. the models of royle et al. (methods in ecology and evolution, 2013, 4) and efford (methods in ecology and evolution, 2014, 000, 000) merely amount to alternative models of resource selection, and hence varying amounts of heterogeneity in encounter probability.
methods;Data combination, telemetry, temporary emigration;estimating population size in the presence of temporary migration using a joint analysis of telemetry and capture-recapture data;"bayesian methods; modelling; population ecology; sampling; statistics";METHODS IN ECOLOGY AND EVOLUTION;"BIRD T;LYON J;NICOL S;MCCARTHY M;BARKER R";1. temporary migration - where individuals can leave and re-enter a sampled population - is a feature of many capture-mark-recapture (cmr) studies of mobile populations which, if unaccounted for, can lead to biased estimates of population capture probabilities and consequently biased estimates of population abundance. 2. we present a method for incorporating radiotelemetry data within a cmr study to eliminate bias due to temporary migration using a bayesian state-space model. 3. our results indicate that using a relatively small number of telemetry tags, it is possible to greatly reduce bias in estimates of capture probabilities using telemetry data to model transition probabilities in and out of the sampling area. in a capture-recapture data set for trout cod in the murray river, australia, accounting for temporary migration led to overall higher estimates of capture probabilities than models assuming permanent or zero migration. also, individual heterogeneity in detectability can be managed through explicit modelling. we show how accounting for temporary migration when estimating capture probabilities can be used to estimate the abundance and size distribution of a population as though it were closed. 4. our model provides a basis for more complex models that might integrate telemetry data into other cmr scenarios, thus allowing for greater precision in estimates of vital rates that might otherwise be biased by temporary migration. our results highlight the importance of accounting for migration in survey design and parameter estimation, and the potential scope for supplementing large-scale cmr data sets with a subset of auxiliary data that provide information on processes that are hidden to primary sampling processes.
methods;SCR, continuous, camera-trapping, point process;continuous-time spatially explicit capture-recapture models, with an application to a jaguar camera-trap survey;"animal movement; data aggregation; density estimation; statistical methods; sufficiency";METHODS IN ECOLOGY AND EVOLUTION;"BORCHERS D;DISTILLER G;FOSTER R;HARMSEN B;MILAZZO L";1. many capture-recapture surveys of wildlife populations operate in continuous time, but detections are typically aggregated into occasions for analysis, even when exact detection times are available. this discards information and introduces subjectivity, in the form of decisions about occasion definition. 2. we develop a spatiotemporal poisson process model for spatially explicit capture-recapture (secr) surveys that operate continuously and record exact detection times. we show that, except in some special cases (including the case in which detection probability does not change within occasion), temporally aggregated data do not provide sufficient statistics for density and related parameters, and that when detection probability is constant over time, our continuous-time (ct) model is equivalent to an existing model based on detection frequencies. we use the model to estimate jaguar density from a camera-trap survey and conduct a simulation study to investigate the properties of a ct estimator and discrete-occasion estimators with various levels of temporal aggregation. this includes investigation of the effect on the estimators of spatiotemporal correlation induced by animal movement. 3. the ct estimator is found to be unbiased and more precise than discrete-occasion estimators based on binary capture data (rather than detection frequencies) when there is no spatiotemporal correlation. it is also found to be only slightly biased when there is correlation induced by animal movement, and to be more robust to inadequate detector spacing, while discrete-occasion estimators with binary data can be sensitive to occasion length, particularly in the presence of inadequate detector spacing. 4. our model includes as a special case a discrete-occasion estimator based on detection frequencies, and at the same time lays a foundation for the development of more sophisticated ct models and estimators. it allows modelling within-occasion changes in detectability, readily accommodates variation in detector effort, removes subjectivity associated with user-defined occasions and fully utilizes ct data. we identify a need for developing ct methods that incorporate spatiotemporal dependence in detections and see potential for ct models being combined with telemetry-based animal movement models to provide a richer inference framework.
